PULSAR AUTO -- SIGNAL+BOUNDARY DATA, BATCH 1 OF 5
This batch contains clips: 0, 4, 9, 10 (of 14 total clips, indices 0-13, split across 5 batches)
See accompanying prompt (llm_analysis_prompt.txt) for full task context and column definitions.
====================================================================================================

##### CLIP 0  (file=zencastr-en_603c4aa5c3e46e0013dcece4-00005_68.wav, duration=28.188s, sr=48000) #####

trail_thresh=0.00789  speech_thresh=0.01139

--- GOLD TOKENS (idx, text, start_s, end_s) ---
0	surprisingly	0.8950	2.0820
1	s-	2.4500	2.8130
2	surprisingly	2.8690	3.7200
3	restrained	3.7210	4.2680
4	and	4.2700	4.3884
5	i	4.3894	4.5300
6	think	4.5710	4.9200
7	it	5.0600	5.1600
8	doesn't	5.1620	5.4044
9	show	5.4054	5.9400
10	that	5.9420	6.2130
11	much	6.2310	6.6000
12	and	6.6050	6.6910
13	i	6.6930	6.7680
14	think	6.7700	6.9450
15	that's	6.9470	7.2130
16	pretty	8.1140	8.3390
17	cool	8.3830	8.7120
18	um	9.5120	10.1600
19	i	10.2330	10.3930
20	think	10.4140	10.7057
21	uh	10.7067	11.2140
22	you	11.9820	12.0620
23	don't	12.0640	12.2130
24	really	12.2140	12.4530
25	get	12.4540	12.7350
26	any	13.6300	14.0060
27	shots	14.6340	15.0330
28	of	15.0350	15.1380
29	like	15.1400	15.3360
30	the	15.3380	15.4775
31	villains	15.4785	16.2500
32	um	16.3250	17.0370
33	you	17.1340	17.2240
34	only	17.2260	17.4020
35	get	17.4040	17.5122
36	like	17.5132	17.6900
37	glimpses	17.6920	18.2220
38	of	18.2240	18.3190
39	the	18.3210	18.4760
40	bat	18.4780	18.7350
41	suit	18.7380	19.2200
42	you	19.6540	19.7350
43	don't	19.7370	19.8550
44	even	19.8570	19.9782
45	see	19.9792	20.1770
46	cat	20.1790	20.4350
47	woman	20.4370	20.6543
48	in	20.6553	20.8140
49	costume	20.8330	21.5687
50	i	21.5697	21.6949
51	think	21.6959	21.8050
52	it's	21.8070	21.9390
53	good	21.9410	22.2320
54	i	22.8550	22.9323
55	think	22.9333	23.1020
56	((it's))	23.1030	23.3040
57	i	23.8830	23.9259
58	think	23.9269	24.1690
59	it	24.1720	24.2980
60	does	24.3000	24.4787
61	exactly	24.4797	24.8860
62	what	24.8880	24.9795
63	a	24.9805	25.2650
64	trailer	25.5700	26.0290
65	should	26.2260	26.4360
66	do	26.4380	26.6390
67	um	27.6930	28.0660

--- RAW CTC (wav2vec2 forced-align, PRE-heuristic-refinement; idx, ctc_word_text, word_start_s, word_end_s, word_score, pipe_start_s, pipe_end_s) ---
0	surprisingly	1.0003	1.8805	11.925	1.9406	2.0006
1	s-	2.6007	2.6207	8.601	2.8008	2.8208
2	surprisingly	3.0009	3.6410	12.050	3.6610	3.7211
3	restrained	3.7611	4.2612	12.484	4.2812	4.3212
4	and	4.3212	4.4012	10.254	4.4012	4.4413
5	i	4.4413	4.4613	11.444	4.4613	4.5413
6	think	4.5413	4.7013	12.649	4.7213	4.7413
7	it	5.0814	5.1415	11.226	5.1415	5.1815
8	doesn't	5.1815	5.4215	12.249	5.4215	5.4616
9	show	5.4816	5.6616	12.753	5.7416	5.8617
10	that	5.9417	6.1617	11.517	6.1818	6.2218
11	much	6.2418	6.4618	13.214	6.4818	6.5219
12	and	6.6019	6.6819	10.428	6.6819	6.7019
13	i	6.7019	6.7419	11.779	6.7419	6.7819
14	think	6.7819	6.9020	12.811	6.9020	6.9420
15	that's	6.9420	7.1420	10.143	7.1420	7.2020
16	pretty	8.1023	8.3224	12.571	8.3424	8.3824
17	cool	8.4424	8.6825	10.068	8.7225	8.7625
18	um	9.9028	9.9828	6.737	10.0829	10.1229
19	i	10.3029	10.3229	9.004	10.3629	10.3829
20	think	10.4030	10.6030	8.730	10.6830	10.7030
21	uh	11.0431	11.1232	4.604	11.1832	11.2032
22	you	11.9634	12.0434	12.521	12.0434	12.0834
23	don't	12.0834	12.2035	11.051	12.2035	12.2235
24	really	12.2235	12.4235	11.749	12.4235	12.4835
25	get	12.4835	12.6836	10.383	12.6836	12.7836
26	any	13.6639	13.8439	9.213	13.9440	13.9840
27	shots	14.7442	15.0243	12.730	15.0243	15.0443
28	of	15.0843	15.1243	6.229	15.1443	15.1843
29	like	15.1843	15.3043	11.453	15.3043	15.3644
30	the	15.3644	15.4244	10.420	15.4244	15.4844
31	villains	15.5244	15.9845	12.434	16.0045	16.1246
32	um	16.7448	16.8048	5.638	16.8648	16.9048
33	you	17.1449	17.2049	8.692	17.2049	17.2449
34	only	17.2449	17.3849	6.672	17.3849	17.4249
35	get	17.4249	17.5050	8.633	17.5050	17.5650
36	like	17.5650	17.6650	9.608	17.6650	17.7250
37	glimpses	17.7450	18.1652	13.448	18.1852	18.2452
38	of	18.2452	18.2852	12.230	18.3052	18.3652
39	the	18.3652	18.4252	10.711	18.4252	18.4652
40	bat	18.4852	18.7253	13.006	18.8053	18.8453
41	suit	18.8453	19.1454	7.839	19.1654	19.2255
42	you	19.6256	19.7056	8.464	19.7256	19.7456
43	don't	19.7456	19.8456	4.465	19.8456	19.8656
44	even	19.8656	20.0057	3.898	20.0257	20.0457
